国籍区分,地域階層,地域コード,地域,1月中／増減,2月中／増減,3月中／増減,4月中／増減,5月中／増減,6月中／増減,7月中／増減,8月中／増減,9月中／増減,10月中／増減,11月中／増減,12月中／増減,令和7年中の増減
日本人,4,13382,御蔵島村,0,0,-14,5,0,-1,0,0,-2,0,-1,-1,-14
日本人,3,13400,八丈支庁,3,-1,-121,81,-2,-6,3,0,-2,-4,-2,-8,-59
日本人,4,13401,八丈町,3,-1,-112,75,-3,-5,2,1,-3,-4,-2,-7,-56
日本人,4,13402,青ヶ島村,0,0,-9,6,1,-1,1,-1,1,0,0,-1,-3
日本人,3,13420,小笠原支庁,0,-1,-66,45,-2,-2,-1,-6,-1,-3,-1,-1,-39
日本人,4,13421,小笠原村,0,-1,-66,45,-2,-2,-1,-6,-1,-3,-1,-1,-39
外国人,0,13000,総数,-27,-110,-793,585,131,-186,114,-40,-247,303,-158,145,-283
外国人,1,13100,区部,-4,-129,-990,5,-52,-290,1,-147,-389,52,-273,-19,-2235
外国人,1,13200,市部,-20,23,196,576,181,106,116,107,124,249,106,162,1926
外国人,2,13300,郡部,-3,-3,1,3,3,-2,-1,0,16,2,9,2,27
外国人,2,13350,島部,0,-1,0,1,-1,0,-2,0,2,0,0,0,-1
外国人,1,13100,区部,-4,-129,-990,5,-52,-290,1,-147,-389,52,-273,-19,-2235
外国人,4,13101,千代田区,-17,7,9,21,-20,-14,-6,-23,-13,4,-33,-14,-99
外国人,4,13102,中央区,-16,-3,-23,-12,-22,-27,-49,-25,30,23,19,-1,-106
外国人,4,13103,港区,-45,-33,-37,-86,-25,-61,-38,-33,-54,-19,-58,-69,-558
外国人,4,13104,新宿区,-103,-149,-362,-322,-107,-107,-174,-119,-200,-231,-186,-65,-2125
外国人,4,13105,文京区,54,-14,-68,52,-16,-16,12,-27,-3,18,-2,8,-2
外国人,4,13106,台東区,-15,-28,-105,-68,-19,-71,-16,-4,-62,-46,4,-15,-445
外国人,4,13107,墨田区,-53,-10,-70,-73,-9,-21,17,-8,-12,-22,-32,-27,-320
外国人,4,13108,江東区,23,53,4,-2,-32,16,16,-77,18,-15,-8,68,64
外国人,4,13109,品川区,-5,-5,30,10,25,-8,6,19,38,9,-57,-1,61
外国人,4,13110,目黒区,-4,33,11,39,34,24,1,-5,-10,25,32,11,191
外国人,4,13111,大田区,-42,38,99,46,-8,24,1,-11,-28,19,0,6,144
外国人,4,13112,世田谷区,72,29,131,108,87,87,57,33,84,32,93,100,913
外国人,4,13113,渋谷区,0,-20,-20,-8,13,-25,-1,6,21,-42,-38,-15,-129
外国人,4,13114,中野区,-21,-43,-99,-8,-35,-53,-75,-59,-53,-59,-3,-22,-530
外国人,4,13115,杉並区,3,9,-36,74,37,43,48,63,18,78,-52,6,291
外国人,4,13116,豊島区,-36,-93,-240,-140,-176,-197,-71,-105,-134,-139,-54,-65,-1450
外国人,4,13117,北区,102,37,32,60,58,23,-51,47,11,-18,76,63,440
外国人,4,13118,荒川区,-26,26,-100,-25,-57,-17,51,4,-99,-73,-45,-60,-421
外国人,4,13119,板橋区,30,-42,-20,15,71,81,64,20,24,138,-60,-4,317
外国人,4,13120,練馬区,37,10,22,104,-37,-56,66,28,-27,147,98,-19,373
外国人,4,13121,足立区,58,0,0,98,87,45,53,34,35,135,75,96,716
外国人,4,13122,葛飾区,-33,8,-32,20,18,-54,2,35,34,9,-65,13,-45
外国人,4,13123,江戸川区,33,61,-116,102,81,94,88,60,-7,79,23,-13,485
外国人,1,13200,市部,-20,23,196,576,181,106,116,107,124,249,106,162,1926
外国人,4,13201,八王子市,8,-1,54,175,6,6,45,16,-10,-12,2,-12,277
外国人,4,13202,立川市,-1,5,50,41,32,-1,6,9,-27,1,-7,12,120
外国人,4,13203,武蔵野市,0,0,41,21,-7,0,-4,-8,29,23,1,2,98
外国人,4,13204,三鷹市,1,4,10,37,8,8,-15,14,5,20,27,11,130
外国人,4,13205,青梅市,-9,1,-21,-23,-18,-9,6,3,-8,-4,-6,-5,-93
外国人,4,13206,府中市,17,-25,-2,2,-2,5,8,5,15,-4,-12,13,20
外国人,4,13207,昭島市,7,27,9,19,13,-5,-26,19,0,12,16,-1,90
外国人,4,13208,調布市,11,-5,25,35,32,32,11,6,-1,3,-11,-9,129
外国人,4,13209,町田市,-17,13,63,71,26,5,-9,-14,25,20,7,17,207
外国人,4,13210,小金井市,-11,-6,18,31,26,10,0,9,16,15,9,27,144
外国人,4,13211,小平市,-14,-3,-2,28,14,-1,18,-9,16,44,-10,22,103
外国人,4,13212,日野市,-19,-4,2,-2,7,-1,7,7,4,6,9,5,21
外国人,4,13213,東村山市,3,1,-3,-7,1,10,6,11,7,18,35,-10,72
外国人,4,13214,国分寺市,-7,-6,18,45,12,5,-5,9,-7,0,0,12,76
外国人,4,13215,国立市,-3,4,6,23,-3,-7,3,-12,-5,-10,20,6,22
外国人,4,13218,福生市,0,7,-64,-30,-9,20,6,17,9,19,-15,-4,-44
外国人,4,13219,狛江市,3,5,-4,1,-9,-2,2,14,6,7,1,20,44
外国人,4,13220,東大和市,1,0,-3,0,4,-2,-7,7,-2,6,2,4,10
外国人,4,13221,清瀬市,9,8,-2,-8,11,8,1,-9,7,1,-3,15,38
外国人,4,13222,東久留米市,2,4,15,17,22,29,5,29,27,23,8,1,182
外国人,4,13223,武蔵村山市,-4,-3,10,8,5,9,12,5,7,0,-1,12,60
外国人,4,13224,多摩市,5,10,33,41,-9,2,15,-10,-1,17,4,4,111
外国人,4,13225,稲城市,1,-2,10,17,12,-8,3,-5,7,-2,-6,3,30
外国人,4,13227,羽村市,-7,-12,-49,22,-2,9,3,-11,-12,16,13,2,-28
外国人,4,13228,あきる野市,-3,-1,5,3,3,-11,-2,-5,-5,-5,0,6,-15
外国人,4,13229,西東京市,7,2,-23,9,6,-5,27,10,22,35,23,9,122
外国人,1,13550,町村部,-3,-4,1,4,2,-2,-3,0,18,2,9,2,26
