地域階層,地域コード,地域,年齢階層,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
4,13106,台東区,1,30～34,21392,11240,10152,18131,9536,8595,3261,1704,1557
4,13106,台東区,1,35～39,16977,9037,7940,14510,7734,6776,2467,1303,1164
4,13106,台東区,1,40～44,16766,9017,7749,14999,8125,6874,1767,892,875
4,13106,台東区,1,45～49,16780,8811,7969,15402,8148,7254,1378,663,715
4,13106,台東区,1,50～54,17689,9195,8494,16534,8654,7880,1155,541,614
4,13106,台東区,1,55～59,15306,8006,7300,14348,7568,6780,958,438,520
4,13106,台東区,1,60～64,11962,6310,5652,11219,5988,5231,743,322,421
4,13106,台東区,1,65～69,9280,4868,4412,8830,4677,4153,450,191,259
4,13106,台東区,1,70～74,8850,4497,4353,8575,4365,4210,275,132,143
4,13106,台東区,1,75～79,10329,5094,5235,10185,5021,5164,144,73,71
4,13106,台東区,1,80～84,7253,2981,4272,7157,2943,4214,96,38,58
4,13106,台東区,1,85～89,5004,1811,3193,4953,1795,3158,51,16,35
4,13106,台東区,1,90～94,2696,787,1909,2672,780,1892,24,7,17
4,13106,台東区,1,95～99,724,149,575,717,148,569,7,1,6
4,13106,台東区,1,100以上,120,16,104,119,15,104,1,1,-
4,13106,台東区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13107,墨田区,0,総数,288833,142049,146784,271027,133700,137327,17806,8349,9457
4,13107,墨田区,1,0～4,9020,4554,4466,8697,4387,4310,323,167,156
4,13107,墨田区,1,5～9,9027,4598,4429,8634,4389,4245,393,209,184
4,13107,墨田区,1,10～14,9040,4607,4433,8655,4422,4233,385,185,200
4,13107,墨田区,1,15～19,9396,4883,4513,8633,4446,4187,763,437,326
4,13107,墨田区,1,20～24,15232,7583,7649,13008,6380,6628,2224,1203,1021
4,13107,墨田区,1,25～29,30057,14975,15082,26980,13431,13549,3077,1544,1533
4,13107,墨田区,1,30～34,27311,13646,13665,24589,12327,12262,2722,1319,1403
4,13107,墨田区,1,35～39,21668,10860,10808,19637,9883,9754,2031,977,1054
4,13107,墨田区,1,40～44,20839,10646,10193,19439,10011,9428,1400,635,765
4,13107,墨田区,1,45～49,21067,10751,10316,19879,10242,9637,1188,509,679
4,13107,墨田区,1,50～54,22559,11432,11127,21569,11059,10510,990,373,617
4,13107,墨田区,1,55～59,19181,9829,9352,18328,9542,8786,853,287,566
4,13107,墨田区,1,60～64,15418,7922,7496,14747,7693,7054,671,229,442
4,13107,墨田区,1,65～69,11931,5957,5974,11611,5854,5757,320,103,217
4,13107,墨田区,1,70～74,12161,5899,6262,11943,5823,6120,218,76,142
4,13107,墨田区,1,75～79,13690,6352,7338,13564,6302,7262,126,50,76
4,13107,墨田区,1,80～84,9928,3920,6008,9852,3889,5963,76,31,45
4,13107,墨田区,1,85～89,6905,2484,4421,6877,2472,4405,28,12,16
4,13107,墨田区,1,90～94,3417,944,2473,3405,942,2463,12,2,10
4,13107,墨田区,1,95～99,856,185,671,850,184,666,6,1,5
4,13107,墨田区,1,100以上,130,22,108,130,22,108,-,-,-
4,13107,墨田区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13108,江東区,0,総数,543193,266318,276875,501806,246083,255723,41387,20235,21152
4,13108,江東区,1,0～4,19203,9891,9312,17671,9093,8578,1532,798,734
4,13108,江東区,1,5～9,21866,11130,10736,20066,10249,9817,1800,881,919
4,13108,江東区,1,10～14,22334,11457,10877,20646,10591,10055,1688,866,822
4,13108,江東区,1,15～19,21592,10977,10615,20005,10145,9860,1587,832,755
4,13108,江東区,1,20～24,27634,13992,13642,24329,12227,12102,3305,1765,1540
4,13108,江東区,1,25～29,41016,20736,20280,35452,17851,17601,5564,2885,2679
4,13108,江東区,1,30～34,38620,19052,19568,33079,16380,16699,5541,2672,2869
4,13108,江東区,1,35～39,37631,18742,18889,32260,16018,16242,5371,2724,2647
4,13108,江東区,1,40～44,40973,20682,20291,36746,18577,18169,4227,2105,2122
4,13108,江東区,1,45～49,42446,21361,21085,39450,19854,19596,2996,1507,1489
4,13108,江東区,1,50～54,47223,23697,23526,44880,22670,22210,2343,1027,1316
4,13108,江東区,1,55～59,39971,20564,19407,38095,19805,18290,1876,759,1117
4,13108,江東区,1,60～64,30090,15358,14732,28662,14791,13871,1428,567,861
4,13108,江東区,1,65～69,23117,11287,11830,22223,10928,11295,894,359,535
4,13108,江東区,1,70～74,23370,10970,12400,22826,10754,12072,544,216,328
4,13108,江東区,1,75～79,27304,12297,15007,26980,12154,14826,324,143,181
4,13108,江東区,1,80～84,18878,7648,11230,18692,7577,11115,186,71,115
4,13108,江東区,1,85～89,12379,4447,7932,12265,4400,7865,114,47,67
4,13108,江東区,1,90～94,5968,1757,4211,5915,1747,4168,53,10,43
4,13108,江東区,1,95～99,1367,256,1111,1353,255,1098,14,1,13
4,13108,江東区,1,100以上,211,17,194,211,17,194,-,-,-
4,13108,江東区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13109,品川区,0,総数,415644,203897,211747,397656,194684,202972,17988,9213,8775
4,13109,品川区,1,0～4,14745,7588,7157,14316,7357,6959,429,231,198
4,13109,品川区,1,5～9,16139,8137,8002,15719,7916,7803,420,221,199
4,13109,品川区,1,10～14,15740,8057,7683,15269,7811,7458,471,246,225
4,13109,品川区,1,15～19,14091,7203,6888,13575,6941,6634,516,262,254
4,13109,品川区,1,20～24,20856,10465,10391,19136,9475,9661,1720,990,730
4,13109,品川区,1,25～29,36881,18973,17908,33987,17428,16559,2894,1545,1349
4,13109,品川区,1,30～34,34011,17212,16799,31303,15785,15518,2708,1427,1281
4,13109,品川区,1,35～39,31557,15842,15715,29425,14755,14670,2132,1087,1045
4,13109,品川区,1,40～44,33315,16792,16523,31475,15867,15608,1840,925,915
4,13109,品川区,1,45～49,32814,16496,16318,31552,15816,15736,1262,680,582
4,13109,品川区,1,50～54,33922,16844,17078,32892,16363,16529,1030,481,549
4,13109,品川区,1,55～59,28686,14484,14202,27821,14072,13749,865,412,453
4,13109,品川区,1,60～64,22354,11351,11003,21703,11063,10640,651,288,363
4,13109,品川区,1,65～69,16898,8194,8704,16474,8024,8450,424,170,254
4,13109,品川区,1,70～74,16229,7601,8628,15943,7485,8458,286,116,170
4,13109,品川区,1,75～79,19045,8646,10399,18874,8569,10305,171,77,94
4,13109,品川区,1,80～84,13070,5237,7833,12980,5200,7780,90,37,53
4,13109,品川区,1,85～89,8784,3116,5668,8734,3105,5629,50,11,39
4,13109,品川区,1,90～94,4883,1341,3542,4864,1337,3527,19,4,15
4,13109,品川区,1,95～99,1360,282,1078,1352,279,1073,8,3,5
4,13109,品川区,1,100以上,264,36,228,262,36,226,2,-,2
4,13109,品川区,1,不詳者,-,-,-,-,-,-,-,-,-
4,13110,目黒区,0,総数,282607,133398,149209,270347,126915,143432,12260,6483,5777
4,13110,目黒区,1,0～4,9196,4750,4446,8911,4598,4313,285,152,133
4,13110,目黒区,1,5～9,10143,5242,4901,9855,5101,4754,288,141,147
